Concurso;Data_Sorteio;B1;B2;B3;B4;B5;B6;B7;Ganhadores_7_Números;OS1;OS2;OS3;OS4;OS5;OS6;OS7
81;27/11/2018;6;10;12;25;26;27;29;0;10;27;29;26;25;6;12
82;29/11/2018;2;9;10;13;16;17;22;1;16;10;17;13;9;2;22
83;01/12/2018;2;9;10;13;15;21;26;0;26;13;9;21;2;15;10
84;04/12/2018;7;10;15;16;18;19;24;0;18;16;7;24;10;15;19
85;06/12/2018;3;7;21;22;23;26;31;1;22;21;31;7;3;23;26
86;08/12/2018;3;6;8;9;11;19;26;1;8;3;9;26;11;19;6
87;11/12/2018;7;9;10;15;18;21;22;0;18;7;9;21;15;10;22
88;13/12/2018;3;4;17;18;19;23;27;1;19;17;23;27;18;4;3
89;15/12/2018;3;6;16;18;19;24;31;1;6;16;24;3;31;18;19
90;18/12/2018;1;5;6;8;12;23;26;2;26;6;5;12;23;8;1
91;20/12/2018;8;10;15;16;23;28;29;0;16;29;8;23;10;28;15
92;22/12/2018;5;7;8;9;15;26;29;0;26;15;8;5;9;29;7
93;27/12/2018;1;8;9;16;21;23;30;1;1;23;16;30;21;9;8
94;29/12/2018;7;10;13;15;19;23;26;1;10;26;15;13;23;7;19
95;03/01/2019;5;7;8;18;20;23;28;1;8;18;7;28;20;23;5
96;05/01/2019;3;4;9;15;17;28;29;4;17;4;28;29;9;3;15
97;08/01/2019;1;10;12;22;23;25;28;0;1;10;22;12;25;23;28
98;10/01/2019;1;3;7;12;26;27;28;0;12;1;27;26;3;7;28
99;12/01/2019;4;14;20;27;28;29;30;0;27;4;14;28;29;30;20
100;15/01/2019;3;4;8;15;16;20;21;0;21;16;4;3;15;20;8
101;17/01/2019;4;5;9;13;19;20;29;0;13;20;4;9;19;5;29
102;19/01/2019;4;7;10;19;22;26;28;4;26;22;4;10;28;19;7
103;22/01/2019;4;5;19;23;25;26;31;0;5;4;26;25;23;19;31
104;24/01/2019;3;13;20;25;26;27;30;0;13;30;25;26;27;3;20
105;26/01/2019;3;7;8;12;21;24;29;1;12;29;21;24;8;7;3
106;29/01/2019;5;8;17;20;25;26;28;0;8;28;20;17;26;5;25
107;31/01/2019;4;7;13;15;18;20;23;1;7;20;18;4;15;13;23
108;02/02/2019;2;6;15;17;22;24;25;0;22;17;6;25;15;2;24
109;05/02/2019;3;18;20;23;24;26;28;1;18;24;26;3;28;23;20
110;07/02/2019;4;8;10;11;14;18;26;0;4;18;8;14;11;26;10
111;09/02/2019;1;6;8;14;17;21;26;0;6;17;14;26;8;1;21
112;12/02/2019;11;13;18;21;24;25;26;0;25;11;21;13;26;18;24
113;14/02/2019;6;9;10;12;17;27;30;1;9;30;6;17;10;27;12
114;16/02/2019;7;8;9;23;26;29;31;0;8;29;7;23;31;26;9
115;19/02/2019;7;8;13;16;18;21;22;1;18;21;16;13;22;7;8
116;21/02/2019;2;5;12;16;18;24;30;3;30;24;16;2;5;18;12
117;23/02/2019;5;7;9;16;18;20;27;3;5;16;27;7;9;18;20
118;26/02/2019;2;5;7;9;15;22;30;0;2;9;7;30;5;22;15
119;28/02/2019;2;3;6;12;24;25;28;2;6;12;3;2;28;25;24
120;02/03/2019;2;8;16;21;22;27;28;0;22;28;8;2;21;16;27
121;07/03/2019;3;9;10;12;14;19;24;0;3;10;24;19;9;12;14
122;09/03/2019;12;13;14;15;16;23;31;0;13;14;16;12;31;15;23
123;12/03/2019;6;11;16;18;19;21;23;1;23;6;19;18;21;16;11
124;14/03/2019;12;15;20;21;22;24;27;0;27;20;21;24;15;12;22
125;16/03/2019;1;8;12;13;17;26;30;0;17;30;13;8;1;12;26
126;19/03/2019;9;11;14;18;24;27;29;0;18;27;29;11;9;24;14
127;21/03/2019;1;5;7;9;17;21;22;1;5;1;22;7;9;17;21
128;23/03/2019;2;7;8;15;19;20;22;1;19;20;8;7;15;22;2
129;26/03/2019;6;12;13;15;16;28;29;1;13;28;12;15;16;29;6
130;28/03/2019;5;8;10;20;23;25;28;0;5;28;20;25;8;23;10
131;30/03/2019;4;5;11;22;26;27;30;1;22;30;5;11;4;26;27
132;02/04/2019;3;11;14;18;19;23;26;1;11;14;26;19;23;3;18
133;04/04/2019;1;4;8;10;20;22;31;1;22;10;4;1;20;31;8
134;06/04/2019;1;2;8;10;14;16;18;1;1;8;2;10;16;18;14
135;09/04/2019;2;5;6;11;25;27;28;0;25;2;5;11;27;6;28
136;11/04/2019;17;19;20;21;23;27;30;0;23;30;19;27;20;17;21
137;13/04/2019;3;5;6;8;16;19;28;1;28;6;3;16;8;19;5
138;16/04/2019;9;13;15;17;21;27;29;1;9;15;29;13;17;21;27
139;18/04/2019;3;4;11;13;18;19;22;0;11;22;4;18;19;13;3
140;20/04/2019;5;8;9;12;14;17;22;1;8;9;17;22;14;5;12
141;23/04/2019;2;7;9;15;23;25;30;1;2;15;7;9;23;30;25
142;25/04/2019;6;11;18;21;23;29;30;0;6;29;18;30;11;23;21
143;27/04/2019;5;10;11;15;22;29;31;1;5;22;11;29;15;10;31
144;30/04/2019;2;4;7;8;13;15;27;1;2;8;15;27;7;13;4
145;02/05/2019;2;3;6;10;11;13;15;1;11;13;2;3;15;10;6
146;04/05/2019;1;8;9;17;18;19;23;0;19;1;23;18;9;8;17
147;07/05/2019;2;3;6;8;9;22;27;0;8;27;6;2;9;3;22
148;09/05/2019;7;9;11;18;21;22;29;1;29;18;11;21;7;22;9
149;11/05/2019;3;16;20;21;25;26;30;0;30;26;21;20;3;16;25
150;14/05/2019;1;2;7;16;17;26;29;1;17;1;26;29;7;2;16
151;16/05/2019;3;11;13;17;22;29;31;1;31;13;17;3;29;11;22
152;18/05/2019;1;3;5;10;14;25;31;0;1;10;31;5;14;3;25
153;21/05/2019;2;13;21;23;25;29;30;1;21;13;2;29;30;23;25
154;23/05/2019;3;5;9;14;21;29;30;0;3;9;30;5;29;14;21
155;25/05/2019;3;13;15;16;25;27;28;2;16;13;27;3;15;28;25
156;28/05/2019;1;3;7;15;16;29;31;0;31;16;3;29;1;15;7
157;30/05/2019;2;10;17;18;20;25;29;1;20;10;25;18;17;29;2
158;01/06/2019;7;14;20;23;27;28;29;0;14;28;29;20;27;23;7
159;04/06/2019;1;10;14;17;23;28;31;1;1;31;10;17;23;28;14
160;06/06/2019;4;8;9;12;13;25;30;1;9;12;8;30;4;25;13
161;08/06/2019;2;3;5;14;15;20;25;0;2;20;25;3;15;14;5
162;11/06/2019;6;10;11;14;20;24;25;0;20;10;24;6;14;25;11
163;13/06/2019;7;10;16;18;24;25;27;0;18;24;25;7;10;27;16
