Concurso;Data_Sorteio;B1;B2;B3;B4;B5;B6;B7;Ganhadores_7_Números;OS1;OS2;OS3;OS4;OS5;OS6;OS7
348;27/08/2020;2;10;18;19;24;26;27;1;10;19;27;26;18;2;24
349;29/08/2020;2;10;17;25;26;28;29;1;26;25;10;17;29;2;28
350;01/09/2020;7;16;20;23;24;25;26;0;25;7;24;16;20;23;26
351;03/09/2020;4;8;9;11;18;19;26;0;11;9;26;19;18;4;8
352;05/09/2020;5;11;12;15;18;22;26;0;5;11;18;22;12;26;15
353;08/09/2020;9;16;20;22;24;28;30;0;24;22;28;30;16;20;9
354;10/09/2020;6;8;20;21;24;28;29;0;24;29;20;28;21;6;8
355;12/09/2020;4;12;13;16;19;22;31;0;31;16;13;4;22;19;12
356;15/09/2020;1;2;10;15;22;23;28;0;22;1;23;10;28;2;15
357;17/09/2020;3;4;6;11;23;24;26;1;23;24;3;4;6;26;11
358;19/09/2020;3;4;5;15;25;27;29;2;29;5;25;3;15;4;27
359;22/09/2020;6;9;14;20;21;22;25;0;22;6;21;14;25;20;9
360;24/09/2020;10;11;13;19;25;27;30;0;11;30;25;19;10;27;13
361;26/09/2020;1;4;5;12;14;22;27;0;4;1;14;12;22;5;27
362;29/09/2020;3;7;10;19;29;30;31;1;10;7;19;30;31;29;3
363;01/10/2020;2;11;12;13;14;18;30;0;30;18;14;11;13;12;2
364;03/10/2020;3;6;7;12;15;23;28;0;6;23;12;3;28;15;7
365;06/10/2020;6;11;14;15;17;19;21;0;17;21;11;19;6;14;15
366;08/10/2020;17;19;23;25;26;29;31;1;23;31;29;26;25;19;17
367;10/10/2020;6;15;17;22;23;26;29;1;17;26;29;6;23;15;22
368;13/10/2020;12;20;21;22;24;26;28;0;22;20;12;24;28;26;21
369;15/10/2020;10;15;16;17;19;21;30;1;17;16;10;21;19;15;30
370;17/10/2020;4;6;11;15;19;21;22;1;6;11;4;15;22;21;19
371;20/10/2020;3;11;12;16;24;29;31;0;3;12;16;29;11;24;31
372;22/10/2020;2;4;19;20;23;26;27;0;4;27;19;26;23;20;2
373;24/10/2020;5;10;21;25;26;29;31;1;21;10;5;26;31;29;25
374;27/10/2020;3;8;9;20;21;23;27;0;23;3;21;8;20;9;27
375;29/10/2020;4;8;9;13;20;23;30;0;8;13;9;30;23;20;4
376;31/10/2020;7;9;10;13;20;22;25;0;7;9;25;13;20;10;22
377;03/11/2020;1;11;12;13;17;29;31;0;31;13;12;1;17;29;11
378;05/11/2020;11;13;18;21;23;25;27;0;23;11;25;13;21;18;27
379;07/11/2020;3;7;14;21;24;26;27;1;24;7;27;21;26;14;3
380;10/11/2020;5;15;17;22;26;28;31;0;26;31;22;17;28;15;5
381;12/11/2020;14;15;16;17;22;24;29;0;29;24;15;22;16;14;17
382;14/11/2020;10;13;17;20;22;26;28;1;10;20;28;26;22;13;17
383;17/11/2020;2;9;11;16;22;24;30;0;22;30;11;2;9;24;16
384;19/11/2020;2;3;6;9;10;15;26;0;26;3;6;9;10;2;15
385;21/11/2020;4;6;7;14;15;22;31;1;15;6;7;14;31;22;4
386;24/11/2020;5;10;11;20;22;29;31;0;31;22;11;20;10;5;29
387;26/11/2020;2;6;15;18;21;22;23;0;23;18;21;22;6;2;15
388;28/11/2020;2;4;7;9;15;22;26;1;22;9;7;15;26;2;4
389;01/12/2020;5;16;23;25;27;28;29;0;25;29;27;23;16;5;28
390;03/12/2020;1;12;17;25;26;28;29;1;26;17;25;12;28;1;29
391;05/12/2020;5;7;10;11;13;17;23;0;13;7;5;10;11;17;23
392;08/12/2020;3;4;10;18;22;24;28;0;10;22;24;28;4;3;18
393;10/12/2020;6;13;19;21;23;27;28;0;28;13;21;23;19;6;27
394;12/12/2020;1;2;5;8;15;24;25;0;2;5;8;1;24;25;15
395;15/12/2020;8;14;16;21;25;30;31;0;30;16;31;21;8;25;14
396;17/12/2020;1;2;14;17;23;25;26;0;1;26;23;2;17;25;14
397;19/12/2020;7;8;9;10;12;14;30;0;14;9;12;30;10;7;8
398;22/12/2020;2;3;7;10;20;30;31;0;30;2;31;20;3;7;10
399;24/12/2020;2;7;15;19;20;23;24;0;2;19;23;7;24;20;15
400;29/12/2020;6;12;17;19;21;23;31;1;31;17;19;21;23;12;6
401;31/12/2020;3;4;6;7;10;24;31;0;10;7;6;4;31;3;24
402;05/01/2021;1;3;5;7;20;22;29;1;5;1;20;22;7;29;3
403;07/01/2021;4;9;11;25;26;29;30;1;29;26;11;25;30;9;4
404;09/01/2021;1;2;9;14;16;25;29;0;25;9;29;2;1;16;14
405;12/01/2021;4;5;7;11;13;18;30;0;30;18;7;11;5;4;13
406;14/01/2021;1;10;11;15;19;20;22;0;20;19;22;15;1;10;11
407;16/01/2021;4;5;12;13;16;25;26;1;26;5;13;12;16;4;25
408;19/01/2021;10;14;17;20;25;27;29;0;29;17;25;10;14;20;27
409;21/01/2021;10;14;16;24;28;30;31;0;31;28;10;24;14;16;30
410;23/01/2021;6;12;14;16;18;27;31;0;12;6;27;18;14;16;31
411;26/01/2021;3;4;8;11;19;26;27;1;11;3;27;19;26;4;8
412;28/01/2021;4;9;10;12;13;19;21;0;13;4;9;21;10;19;12
413;30/01/2021;3;6;9;12;16;21;22;0;6;3;12;9;16;22;21
414;02/02/2021;2;11;17;20;28;30;31;1;28;11;2;30;20;17;31
415;04/02/2021;4;8;10;14;20;27;29;0;4;27;29;10;14;8;20
416;06/02/2021;3;8;11;13;23;24;30;1;13;3;8;11;30;24;23
417;09/02/2021;3;8;11;17;19;21;26;0;3;19;17;11;8;26;21
418;11/02/2021;7;9;20;23;25;27;31;0;23;27;20;7;31;25;9
419;13/02/2021;2;3;10;13;17;24;31;0;17;3;31;24;10;13;2
420;18/02/2021;1;5;9;10;14;16;25;0;9;14;10;25;5;16;1
421;20/02/2021;6;9;11;14;19;22;25;0;6;25;11;19;9;22;14
422;23/02/2021;6;7;19;24;27;28;31;0;24;28;6;31;7;27;19
423;25/02/2021;5;7;9;13;18;21;30;0;9;5;13;30;18;21;7
424;27/02/2021;1;6;11;13;23;25;31;1;11;13;31;23;1;6;25
425;02/03/2021;16;18;19;21;26;29;31;0;21;26;19;31;16;18;29
426;04/03/2021;1;4;14;17;23;24;27;0;14;1;4;24;17;23;27
427;06/03/2021;2;5;9;10;11;13;24;0;10;9;5;2;13;11;24
428;09/03/2021;4;6;7;15;17;20;21;0;15;7;4;17;20;6;21
429;11/03/2021;8;15;17;19;23;27;31;0;17;27;15;8;23;19;31
430;13/03/2021;2;17;19;20;24;28;31;1;2;19;17;28;20;24;31
431;16/03/2021;14;20;23;24;26;27;31;0;20;31;14;26;27;23;24
432;18/03/2021;5;9;12;15;24;27;28;1;15;9;27;5;24;28;12
433;20/03/2021;1;6;7;19;25;27;31;0;27;31;6;7;19;25;1
434;23/03/2021;7;12;14;22;24;30;31;0;7;12;31;14;30;24;22
435;25/03/2021;7;8;14;21;23;26;30;0;14;21;26;30;8;23;7
436;27/03/2021;4;23;24;25;26;27;31;0;24;27;25;23;26;4;31
437;30/03/2021;1;14;22;26;27;28;31;0;22;1;27;31;26;28;14
438;01/04/2021;3;7;10;18;19;22;28;1;28;7;19;3;18;22;10
439;03/04/2021;1;6;14;19;23;27;28;0;1;6;28;19;14;27;23
440;06/04/2021;2;8;13;14;17;21;24;0;21;13;14;24;8;2;17
441;08/04/2021;1;9;14;19;28;29;30;0;19;30;9;29;1;28;14
442;10/04/2021;5;12;15;18;24;26;30;1;30;18;15;5;26;24;12
443;13/04/2021;1;6;8;10;11;21;31;1;21;1;11;8;31;10;6
444;15/04/2021;2;5;6;10;22;26;31;0;10;31;6;26;2;22;5
445;17/04/2021;1;16;18;21;24;26;30;1;18;1;24;16;30;21;26
446;20/04/2021;3;5;6;11;16;21;27;0;6;11;5;27;21;3;16
447;22/04/2021;4;7;9;18;20;26;29;0;9;20;18;4;29;26;7
448;24/04/2021;4;5;6;15;20;25;29;0;4;6;25;15;29;5;20
449;27/04/2021;4;6;7;16;22;23;29;1;23;29;6;22;16;7;4
450;29/04/2021;10;15;19;24;26;27;29;0;15;19;27;10;29;26;24
451;04/05/2021;7;11;17;19;24;26;30;0;11;30;24;7;17;26;19
452;06/05/2021;2;10;14;17;20;21;26;0;20;17;14;21;10;2;26
453;08/05/2021;1;3;8;13;17;21;23;0;17;13;3;21;8;23;1
454;11/05/2021;3;4;10;11;13;16;17;0;16;10;17;4;11;13;3
455;13/05/2021;9;12;13;14;21;24;29;2;12;14;29;21;13;24;9
456;15/05/2021;2;12;18;19;21;22;30;0;2;30;18;19;21;22;12
457;18/05/2021;4;8;12;14;15;22;29;0;22;4;8;12;14;15;29
458;20/05/2021;9;10;14;15;22;27;28;2;22;14;9;27;28;15;10
459;22/05/2021;1;8;10;13;16;27;29;0;16;10;13;8;29;27;1
460;25/05/2021;7;17;18;20;21;28;31;0;28;7;18;31;21;17;20
461;27/05/2021;2;8;11;24;25;28;29;0;28;8;25;24;2;11;29
462;29/05/2021;1;5;6;10;19;21;26;0;26;10;6;21;5;1;19
463;01/06/2021;5;8;10;16;22;26;30;1;10;8;16;22;26;5;30
464;05/06/2021;7;10;11;15;21;25;31;0;10;11;15;7;31;25;21
465;08/06/2021;1;9;20;25;27;30;31;0;20;25;27;31;9;30;1
466;10/06/2021;2;5;8;13;15;20;25;1;5;25;20;15;8;13;2
467;12/06/2021;5;6;9;21;22;25;29;0;22;5;6;25;21;29;9
468;15/06/2021;3;7;8;10;17;24;28;1;7;10;28;17;3;24;8
469;17/06/2021;5;6;7;8;11;14;26;1;5;26;14;8;6;11;7
470;19/06/2021;1;12;14;15;16;19;23;0;12;16;14;23;19;1;15
471;22/06/2021;2;3;11;12;19;24;27;1;27;24;3;2;11;12;19
472;24/06/2021;5;7;9;10;22;25;29;0;7;10;29;22;5;9;25
473;26/06/2021;2;9;11;16;20;27;28;0;9;16;2;28;20;11;27
474;29/06/2021;6;8;9;12;14;17;19;0;12;19;8;9;6;14;17
475;01/07/2021;10;14;15;18;23;27;29;0;15;23;10;29;14;18;27
476;03/07/2021;2;5;6;10;23;27;31;1;31;27;23;10;2;5;6
477;06/07/2021;2;5;8;12;19;23;26;3;8;23;12;5;26;19;2
478;08/07/2021;3;4;9;27;29;30;31;0;3;31;4;27;29;30;9
479;10/07/2021;1;5;12;13;15;20;23;0;5;20;23;13;15;1;12
480;13/07/2021;3;6;10;17;20;28;31;0;10;20;3;28;6;31;17
481;15/07/2021;4;5;11;14;23;24;31;0;14;4;11;24;31;23;5
482;17/07/2021;1;8;18;23;25;29;30;0;8;18;25;23;30;1;29
483;20/07/2021;2;9;11;12;16;23;29;0;2;29;9;16;12;11;23
484;22/07/2021;1;4;9;14;20;25;26;0;26;9;20;25;14;4;1
485;24/07/2021;4;20;21;22;23;26;28;0;20;26;21;22;23;4;28
486;27/07/2021;3;7;12;17;18;22;23;2;17;22;7;3;12;18;23
487;29/07/2021;2;7;12;19;20;30;31;1;12;20;19;31;30;2;7
488;31/07/2021;1;4;9;14;15;25;29;0;25;29;9;1;4;15;14
489;03/08/2021;6;8;17;18;22;24;27;0;8;22;24;17;18;27;6
490;05/08/2021;6;7;15;21;24;27;31;0;27;7;24;6;31;15;21
491;07/08/2021;2;3;7;12;23;26;30;0;26;3;30;7;23;12;2
492;10/08/2021;2;9;10;11;21;22;26;0;26;21;10;22;2;9;11
493;12/08/2021;6;7;11;12;19;23;30;0;11;6;30;19;23;7;12
494;14/08/2021;3;8;13;20;25;26;30;0;26;20;3;13;25;30;8
495;17/08/2021;4;5;11;15;19;22;30;1;11;15;30;22;4;5;19
496;19/08/2021;1;8;12;16;18;19;23;0;18;1;19;8;16;12;23
497;21/08/2021;7;8;11;18;19;27;31;0;8;31;18;27;7;11;19
498;24/08/2021;3;16;18;20;25;30;31;1;16;3;20;31;18;30;25
499;26/08/2021;8;9;11;12;14;20;21;0;11;14;12;8;20;21;9
500;28/08/2021;2;7;9;15;22;24;27;1;7;24;22;15;9;2;27
501;31/08/2021;3;13;18;20;23;24;30;0;20;3;23;18;30;24;13
502;02/09/2021;1;5;8;18;26;27;31;0;26;18;27;1;8;31;5
503;04/09/2021;2;3;5;9;15;22;29;0;29;9;2;22;15;3;5
504;09/09/2021;2;9;10;11;21;30;31;0;10;11;21;31;2;30;9
505;11/09/2021;2;3;7;8;12;14;29;0;7;14;2;29;8;12;3
506;14/09/2021;4;6;16;20;26;27;29;1;16;27;4;29;26;6;20
507;16/09/2021;7;8;14;15;16;17;23;0;16;23;17;14;15;8;7
508;18/09/2021;2;3;4;8;11;15;25;0;3;15;2;4;8;11;25
509;21/09/2021;1;3;5;6;15;20;23;0;3;5;6;20;23;15;1
510;23/09/2021;5;6;16;17;21;27;31;0;17;16;5;6;27;21;31
511;25/09/2021;7;8;9;17;19;28;29;1;17;8;9;29;28;19;7
512;28/09/2021;4;5;10;12;13;21;23;2;13;5;4;23;21;10;12
513;30/09/2021;6;7;15;24;27;29;31;0;31;6;7;29;24;15;27
514;02/10/2021;1;2;5;8;15;17;18;0;15;1;17;18;8;2;5
515;05/10/2021;5;7;14;15;18;20;24;0;5;7;15;14;20;24;18
516;07/10/2021;1;11;15;17;22;26;27;0;26;27;17;1;11;22;15
517;09/10/2021;10;11;21;22;27;29;30;0;10;27;11;21;22;29;30
518;14/10/2021;5;10;11;16;18;24;25;0;16;10;5;18;25;24;11
519;16/10/2021;8;9;12;13;16;19;24;1;8;19;24;13;16;12;9
520;19/10/2021;11;12;15;21;22;30;31;0;15;21;11;22;31;12;30
521;21/10/2021;9;13;16;17;22;24;27;1;17;16;9;22;24;13;27
522;23/10/2021;1;6;7;9;13;16;22;0;22;9;16;13;7;6;1
523;26/10/2021;3;5;10;15;17;19;23;0;10;23;5;3;19;17;15
524;28/10/2021;4;7;14;17;19;21;29;1;19;7;29;17;21;4;14
525;30/10/2021;12;16;17;20;21;22;29;0;21;17;16;20;29;12;22
526;04/11/2021;5;8;13;26;27;30;31;1;5;31;8;26;13;27;30
527;06/11/2021;2;9;12;18;24;30;31;1;18;12;24;30;31;9;2
528;09/11/2021;4;5;9;13;17;18;31;0;31;9;5;18;4;17;13
529;11/11/2021;8;10;13;16;24;27;29;2;13;27;16;10;8;24;29
530;13/11/2021;3;11;13;23;26;27;30;0;3;13;11;23;30;27;26
531;16/11/2021;4;11;15;18;23;26;31;0;31;11;15;23;4;26;18
532;18/11/2021;3;5;8;16;19;23;30;0;30;3;16;8;23;19;5
533;20/11/2021;2;3;4;9;13;20;25;0;2;3;9;20;4;25;13
534;23/11/2021;10;11;14;19;28;30;31;1;31;14;19;11;30;10;28
535;25/11/2021;2;4;10;11;14;28;30;0;10;14;2;4;11;30;28
536;27/11/2021;3;5;8;10;12;22;27;0;5;10;12;3;22;8;27
537;30/11/2021;8;11;13;19;22;24;28;0;19;11;8;22;24;28;13
538;02/12/2021;8;12;18;19;28;29;31;0;8;29;31;28;12;19;18
539;04/12/2021;7;12;14;16;23;26;27;0;27;12;7;23;16;14;26
540;07/12/2021;7;9;10;13;18;21;25;0;9;25;18;21;7;13;10
541;09/12/2021;1;4;6;8;13;17;31;1;31;6;17;1;8;13;4
542;11/12/2021;3;6;10;13;15;17;29;0;29;13;10;17;6;15;3
543;14/12/2021;3;4;6;10;18;20;26;0;26;6;20;4;3;10;18
544;16/12/2021;2;8;9;11;17;24;28;0;24;11;9;17;28;2;8
545;18/12/2021;1;6;12;19;21;22;26;0;21;19;12;6;26;1;22
546;21/12/2021;6;8;17;19;20;21;29;1;19;29;17;20;8;6;21
547;23/12/2021;2;4;17;18;19;25;31;0;25;4;2;17;19;18;31
548;28/12/2021;1;7;11;19;21;29;30;0;30;11;1;19;7;29;21
549;30/12/2021;4;6;8;14;16;23;24;0;23;16;4;6;14;24;8
550;04/01/2022;5;8;16;18;23;27;28;0;27;8;16;28;18;5;23
551;06/01/2022;1;4;6;8;12;24;30;0;1;24;6;12;8;4;30
552;08/01/2022;6;13;14;21;23;27;29;1;14;29;21;23;6;13;27
553;11/01/2022;6;8;14;19;23;26;30;1;8;26;30;23;19;14;6
554;13/01/2022;5;9;17;19;20;26;30;0;19;5;9;30;20;26;17
555;15/01/2022;4;12;15;17;22;24;25;0;4;24;15;12;25;22;17
556;18/01/2022;3;6;9;17;19;25;28;0;3;28;25;9;17;19;6
557;20/01/2022;1;7;10;12;20;23;26;0;23;26;20;7;1;12;10
558;22/01/2022;3;5;11;17;21;26;27;0;21;27;26;3;5;17;11
559;25/01/2022;9;11;17;18;22;25;30;0;25;22;9;18;30;11;17
560;27/01/2022;12;14;17;19;27;29;30;0;14;29;12;17;27;19;30
561;29/01/2022;1;4;16;18;19;21;30;0;21;30;4;19;16;1;18
562;01/02/2022;2;7;9;14;19;26;29;2;14;2;26;9;29;7;19
563;03/02/2022;5;10;11;18;27;28;30;0;18;27;11;5;30;10;28
564;05/02/2022;2;4;11;20;22;24;31;0;31;4;11;22;2;24;20
565;08/02/2022;1;2;11;13;19;21;24;0;2;24;1;11;19;13;21
566;10/02/2022;2;7;13;15;18;19;25;1;7;2;19;13;18;15;25
567;12/02/2022;8;12;19;21;23;25;28;0;8;23;12;21;28;25;19
568;15/02/2022;1;7;12;14;20;29;31;0;29;1;31;20;14;7;12
569;17/02/2022;1;2;4;9;17;21;31;0;21;4;9;2;1;31;17
570;19/02/2022;9;18;20;21;23;24;29;0;24;29;23;18;9;21;20
571;22/02/2022;9;13;16;18;23;26;31;1;31;13;16;9;18;26;23
572;24/02/2022;3;7;10;12;14;27;30;1;7;10;30;14;12;3;27
573;26/02/2022;6;13;22;24;26;29;30;0;26;6;29;22;30;24;13
574;03/03/2022;11;14;22;23;24;26;29;0;29;22;26;14;24;23;11
575;05/03/2022;3;4;6;10;12;14;23;1;12;23;10;6;4;14;3
576;08/03/2022;2;3;6;8;16;25;26;0;6;26;2;3;16;8;25
577;10/03/2022;4;7;10;14;25;29;30;0;29;7;4;25;14;30;10
578;12/03/2022;11;13;17;20;21;23;25;0;20;25;11;17;21;13;23
579;15/03/2022;1;4;6;8;17;22;25;0;22;1;25;8;6;4;17
580;17/03/2022;9;13;18;19;21;22;25;0;25;21;19;18;22;9;13
581;19/03/2022;2;8;9;11;16;25;29;1;11;16;9;8;2;25;29
582;22/03/2022;9;10;17;20;21;22;26;0;9;17;21;20;26;22;10
583;24/03/2022;3;6;10;15;21;25;29;1;6;3;29;25;15;10;21
584;26/03/2022;3;10;22;24;26;30;31;0;10;22;30;26;24;3;31
585;29/03/2022;1;2;7;12;14;17;29;0;29;17;14;7;1;12;2
586;31/03/2022;1;9;11;22;25;28;31;0;25;1;28;9;11;22;31
587;02/04/2022;6;10;11;13;19;21;29;0;21;11;10;6;29;19;13
588;05/04/2022;4;8;9;14;16;19;24;0;14;4;19;16;9;24;8
589;07/04/2022;2;12;16;17;18;22;23;0;16;18;17;12;22;2;23
590;09/04/2022;1;5;8;18;19;27;28;1;28;18;5;1;8;27;19
591;12/04/2022;2;17;19;20;23;25;27;0;17;19;27;2;20;25;23
592;14/04/2022;4;9;10;12;19;22;26;0;26;19;22;12;10;9;4
593;16/04/2022;2;9;10;13;18;20;29;0;20;13;2;18;29;10;9
594;19/04/2022;6;15;16;17;18;27;31;0;15;18;31;16;27;17;6
595;23/04/2022;4;8;9;19;22;25;31;0;9;22;8;19;31;25;4
596;26/04/2022;2;5;9;14;25;26;28;0;2;9;14;28;25;26;5
597;28/04/2022;6;7;10;13;22;24;29;1;10;6;24;13;22;29;7
598;30/04/2022;7;9;13;15;20;24;25;0;20;9;7;25;15;13;24
599;03/05/2022;2;3;6;7;17;26;29;0;26;17;2;6;7;3;29
600;05/05/2022;2;4;9;11;18;24;28;0;9;11;28;18;24;2;4
601;07/05/2022;9;10;11;12;18;19;25;0;25;12;11;18;9;10;19
602;10/05/2022;1;6;8;11;15;19;30;0;15;11;8;30;19;6;1
603;12/05/2022;2;21;22;26;27;28;31;0;27;21;2;22;28;26;31
604;14/05/2022;6;7;12;18;20;24;28;1;18;7;24;20;28;6;12
605;17/05/2022;9;10;20;23;27;29;31;0;23;10;31;9;27;20;29
606;19/05/2022;3;7;13;14;16;17;31;0;31;13;17;7;16;3;14
607;21/05/2022;9;10;11;17;21;23;26;0;21;11;23;10;17;26;9
608;24/05/2022;7;8;12;22;26;27;31;0;27;7;31;26;12;22;8
609;26/05/2022;2;4;9;11;19;30;31;0;9;2;30;19;11;31;4
610;28/05/2022;2;4;8;16;18;21;29;0;4;18;8;21;16;29;2
611;31/05/2022;2;3;10;18;23;29;30;0;23;30;3;10;18;29;2
612;02/06/2022;4;6;10;16;21;25;29;0;6;4;29;16;21;10;25
613;04/06/2022;5;10;16;22;26;27;28;1;10;22;5;16;26;28;27
614;07/06/2022;1;3;7;9;16;24;26;0;24;26;7;16;3;9;1
615;09/06/2022;3;6;11;14;17;28;29;1;3;28;11;17;14;29;6
616;11/06/2022;6;12;15;26;27;28;31;0;6;28;12;31;26;15;27
617;14/06/2022;1;6;8;13;15;21;25;0;13;1;25;15;21;8;6
618;18/06/2022;3;5;13;15;17;18;24;1;18;5;24;15;3;17;13
619;21/06/2022;2;5;11;13;19;25;27;0;27;11;2;13;19;5;25
620;23/06/2022;1;4;15;18;22;23;30;0;23;18;15;4;30;22;1
621;25/06/2022;2;8;12;15;16;19;23;0;8;23;12;2;15;19;16
622;28/06/2022;4;9;11;22;25;28;29;1;9;25;29;4;28;22;11
623;30/06/2022;6;10;15;17;20;27;30;0;17;30;15;20;6;27;10
624;02/07/2022;8;20;21;22;27;29;31;0;21;22;20;29;8;31;27
625;05/07/2022;2;6;10;12;19;30;31;0;12;2;10;6;19;31;30
626;07/07/2022;1;4;7;9;11;19;27;0;7;1;11;9;19;4;27
627;09/07/2022;7;11;14;17;18;21;22;0;17;14;11;22;21;18;7
628;12/07/2022;5;8;10;16;20;24;31;2;31;10;5;20;24;16;8
629;14/07/2022;7;9;10;21;24;25;28;0;25;24;10;28;7;9;21
630;16/07/2022;3;8;11;15;19;20;30;0;19;15;20;11;3;8;30
631;19/07/2022;6;11;14;18;19;22;29;0;6;22;11;29;18;14;19
632;21/07/2022;6;10;11;12;14;18;24;0;12;10;6;11;14;24;18
633;23/07/2022;3;5;9;11;13;20;25;1;5;9;25;11;3;20;13
634;26/07/2022;3;4;8;16;21;30;31;0;8;16;3;31;30;4;21
635;28/07/2022;2;8;11;13;15;16;17;0;17;2;11;16;15;8;13
636;30/07/2022;2;4;7;14;21;27;28;1;28;2;7;14;27;4;21
637;02/08/2022;3;4;11;14;22;25;31;0;4;25;14;22;11;31;3
638;04/08/2022;2;3;14;15;19;21;26;1;26;15;3;19;14;21;2
639;06/08/2022;3;8;12;15;24;25;31;0;3;15;8;31;25;12;24
640;09/08/2022;3;5;9;13;19;29;30;0;5;19;29;30;13;3;9
641;11/08/2022;3;7;9;12;15;25;30;0;9;12;15;25;7;30;3
642;13/08/2022;8;10;11;13;14;24;29;0;14;10;11;24;29;13;8
643;16/08/2022;2;6;7;10;14;16;26;0;16;14;2;10;26;6;7
644;18/08/2022;7;8;17;19;20;22;26;1;22;20;19;8;7;17;26
645;20/08/2022;5;7;11;19;24;29;31;1;11;31;29;19;5;24;7
646;23/08/2022;1;4;5;13;15;22;24;0;13;1;5;4;15;24;22
647;25/08/2022;1;6;12;13;27;29;31;0;29;1;12;31;6;13;27
648;27/08/2022;3;6;9;23;25;28;30;4;9;23;3;30;6;25;28
649;30/08/2022;4;5;8;14;18;19;30;0;5;8;30;18;14;4;19
650;01/09/2022;1;4;6;11;14;20;25;0;20;1;6;14;25;11;4
651;03/09/2022;4;6;11;12;19;22;30;1;12;22;19;11;30;4;6
652;06/09/2022;8;9;14;19;24;26;30;0;19;8;9;24;30;26;14
653;08/09/2022;1;3;12;15;22;24;30;0;24;15;22;12;3;30;1
654;10/09/2022;6;7;8;11;12;14;27;0;12;6;8;7;11;27;14
655;13/09/2022;4;8;12;20;26;27;31;0;26;20;8;27;4;31;12
656;15/09/2022;2;8;9;13;19;25;27;0;2;8;25;27;19;13;9
